الكلية,الدرجة,النوع,المجال
ألسن الفيوم رياضة,401.731666,جامعة,ألسن
علوم حلوان,401.663334,جامعة,علوم
الاهرامات العالي للهندسة والتكنولوجيا -6 اكتوبر,401.595,معهد,هندسة
معهد العبور العالي للهندسه والتكنولوجيا بمصروفات,401.535484,معهد,هندسة
علوم الوادي الجديد,401.535484,جامعة,علوم
التكنولوجيا والتعليم الصناعي بني سويف,401.337097,جامعة,تكنولوجيا
المجمع التكنولوجى المتكامل بالاميرية,401.144,جامعة,تكنولوجيا
القاهرة العالي ش هندسية بالتجمع الاول القاهرة الجديدة,401.048334,معهد,هندسة
التكنولوجيا والتعليم الصناعي سوهاج,401.006451,جامعة,تكنولوجيا
معهد عالي حاسبات ومعلومات مدينه الشروق شعبة علوم الحاسب بمصروفات رياضة,400.874193,معهد,حاسبات ومعلومات
ألسن بني سويف,400.874193,جامعة,ألسن
مركز التكنولوجيا المتميز بوزارة الصناعة والتجارة الخارجية,400.706666,جامعة,تكنولوجيا
ألسن أسوان,399.75,جامعة,ألسن
المعهد العالى للهندسة والتكنولوجيا بالمنوفية,399.75,معهد,هندسة
ع.هندسةوتكنوالعبور ك21 طريق بلبيس الصحراوى,399.75,جامعة,هندسة
المعهد العالى للهندسة والتكنولوجيا ببرج العرب بالاسكندرية,399.75,معهد,هندسة
علوم الارض بني سويف,399.75,جامعة,علوم
معهد عالي كندي تكنولوجيا هندسة ت.خامس,399.75,معهد,هندسة
المعهد العالي للهندسة والتكنولوجيا بالبحيرة,399.551613,معهد,هندسة
علوم الفيوم,399.534211,جامعة,علوم
علوم سوهاج,399.287097,جامعة,علوم
علوم المنوفية بشبين الكوم,398.758065,جامعة,علوم
علوم كفر الشيخ,398.660938,جامعة,علوم
آثار القاهرة,398.46875,جامعة,آثار
حقوق الزقازيق,398.276563,جامعة,حقوق
معهد الجزيرة العالى للهندسة والتكنولوجيا بالمقطم,398.11,معهد,هندسة
تجارة القاهرة,397.964516,جامعة,تجارة
معهد أكتوبر العالي للهندسه والتكنولوجيا م 6 اكتوبر بمصروفات,397.828125,معهد,هندسة
معهد عالي هندسة وتكنولوجيا كفر الشيخ,397.7,معهد,هندسة
معهد عالي هندسه مدينه الشروق بمصروفات,397.7,معهد,هندسة
المعهد الكندى العالى للهندسة 6 اكتوبر,397.7,معهد,هندسة
علوم ثروة سمكية و مصايد كفر الشيخ,397.7,جامعة,علوم
المعهد العالى للهندسة والتكنولوجيا بالزقازيق,397.7,معهد,هندسة
معهد طيبة العالي للهندسه بالمعادى بمصروفات,397.633871,معهد,هندسة
ألسن الأقصر,397.592106,جامعة,ألسن
علوم بنها,397.567742,جامعة,علوم
علوم طنطا,397.426666,جامعة,علوم
المعهد العالي للهندسة بمدينة 15 مايو,396.840323,معهد,هندسة
علوم أسيوط,396.606666,جامعة,علوم
معهد المستقبل العالى للهندسة والتكنولوجيا بالمنصورة,396.575807,معهد,هندسة
معهد عالي تكنولوجيا 10 رمضان شعبة علوم الحاسب بمصروفات رياضة,396.377419,معهد,تكنولوجيا
علوم دمنهور,396.046774,جامعة,علوم
معهد عالي عبور إدارة وحاسبات ونظم بلبيس شعبة علوم حاسب بمصروفات رياضة,395.65,معهد,حاسبات ومعلومات
علوم أسوان,395.65,جامعة,علوم
مصر العالي بالمنصورة تجارة وحاسبات شعبة علوم الحاسب رياضة,395.65,معهد,حاسبات ومعلومات
معهد النيل العالى للهندسة والتكنولوجيا بالمنصورة,395.65,معهد,هندسة
ألسن جنوب الوادي فرع الغردقة,395.65,جامعة,ألسن
آثار عين شمس,395.65,جامعة,آثار
علوم البترول والتعدين مطروح - علوم,395.65,جامعة,هندسة بترول
علوم دمياط,395.434211,جامعة,علوم
معهد الدلتا العالي للهندسة والتكنولوجيا بالمنصورة,395.319355,معهد,هندسة
أكاديمية أخبار اليوم شعبة هندسية 6 أكتوبر,395.253226,جامعة,هندسة
علوم الزقازيق,395.171666,جامعة,علوم
علوم العريش,394.922581,جامعة,علوم
المعهد العالى للهندسة والتكنولوجيا بكنج مريوط,394.922581,معهد,هندسة
آثار دمياط,394.786842,جامعة,آثار
معهد الصفوة العالي هندسة وتكنولوجيا بالقليوبية,394.591935,معهد,هندسة
المعهد العالى للهندسة الالكترونية بلبيس,394.5225,معهد,هندسة
ألسن جنوب الوادي فرع الغردقة رياضة,394.261291,جامعة,ألسن
معهد المستقبل العالى للهندسة والتكنولوجيا بالفيوم,394.151923,معهد,هندسة
السلام العالي للهندسة والتكنولوجيا بمدينة السلام,393.805,معهد,هندسة
مصر العالي شعبة نظم معلومات إدارية المنصورة,393.6,معهد,حاسبات ومعلومات
علوم المنصورة,393.6,جامعة,علوم
تربية طنطا,392.674193,جامعة,تربية
معهد المدينة العالي للهندسة والتكنولوجيا بشبرامنت,392.475807,معهد,هندسة
علوم بور سعيد,392.254688,جامعة,علوم
عالي هندسة بلبيس,392.197369,معهد,هندسة
علوم جنوب الوادي,391.55,جامعة,علوم
معهد الوادى العالي للهندسة و التكنولوجيا قليوبية,391.55,معهد,هندسة
فنون تطبيقية حلوان,391.55,جامعة,طب
آثار الفيوم,391.345,جامعة,آثار
معهد عالي علوم الحاسب تجمع خامس بمصروفات رياضة,391.226316,معهد,حاسبات ومعلومات
دار العلوم القاهرة,391.153226,جامعة,علوم
علوم قناة السويس بالإسماعيلية,390.888709,جامعة,علوم
الأكاديميه الحديثة بالمعادى هندسة بمصروفات,390.840385,جامعة,هندسة
الاكاديمية الدولية لعلوم الإعلام (شعبة هندسة )6اكتوبر,390.756451,جامعة,هندسة
آثار و لغات مطروح,390.095161,جامعة,آثار
الاعاقة والتأهيل الزقازيق,389.568334,جامعة,الإعاقة والتأهيل
آثار أسوان,389.5,جامعة,آثار
تجارة عين شمس,389.5,جامعة,تجارة
تكنولوجيا صناعة السكر والصناعات التكاملية اسيوط,389.5,جامعة,تكنولوجيا
معهد فني صحى الزقازيق,389.5,معهد,تمريض
الاعاقة والتأهيل بني سويف,389.5,جامعة,الإعاقة والتأهيل
معهد الجيزة العالى للهندسة والتكنولوجيا بطموه,389.18,معهد,هندسة
