الكلية,الدرجة,النوع,المجال
تربية طفولة مبكرة الزقازيق,393.531666,جامعة,تربية
آثار سوهاج,393.463334,جامعة,آثار
تمريض حلوان,393.326666,جامعة,تمريض
معهد المنصورة العالى للهندسة والتكنولوجيا,392.301666,معهد,هندسة
معهد عالي حاسبات ومعلومات مدينه الشروق شعبة علوم الحاسب بمصروفات رياضة,391.618334,معهد,حاسبات ومعلومات
آثار الأقصر,391.55,جامعة,آثار
سياحه وفنادق الاقصر,390.593334,جامعة,سياحة وفنادق
معهد فني صحى بنى سويف,389.568334,معهد,تمريض
آثار جنوب الوادي,389.5,جامعة,آثار
دار العلوم الفيوم,389.363335,جامعة,علوم
أقتصاد منزلى العريش,388.748334,جامعة,غير مصنف
معهد فني صحى طنطا,387.996666,معهد,تمريض
ع.هندسةوتكنوالعبور ك21 طريق بلبيس الصحراوى,387.791666,جامعة,هندسة
تجارة عين شمس,387.45,جامعة,تجارة
علوم ثروة سمكية و مصايد كفر الشيخ,387.119355,جامعة,علوم
المعهد الكندي العالي للحاسب الآلي بالتجمع الخامس القاهرة الجديدة رياضة,386.63,معهد,حاسبات ومعلومات
تجارة بور سعيد,386.493334,جامعة,تجارة
تربية الفيوم,386.22,جامعة,تربية
تربية (طفولة) طنطا,385.536666,جامعة,تربية
مصر العالي بالمنصورة تجارة وحاسبات شعبة علوم الحاسب رياضة,385.4,معهد,حاسبات ومعلومات
تربية (طفولة) كفر الشيخ,385.4,جامعة,تربية
تمريض دمياط,385.331666,جامعة,تمريض
تجارة قناة السويس بالإسماعيلية,384.127586,جامعة,تجارة
تربية دمنهور,381.3,جامعة,تربية
معهد فني صحى الاسكندريه,380.616666,معهد,تمريض
سياحة وفنادق الإسكندرية,380.001666,جامعة,سياحة وفنادق
تربية الإسكندرية,380.001666,جامعة,تربية
المعهد العالي للهندسة والتكنولوجيا بالبحيرة,378.43,معهد,هندسة
تجارة و إدارة أعمال حلوان,376.38,جامعة,تجارة
