الكلية, الحد الأدنى
طب بيطري مطروح,384.804839
علوم الإسكندرية,383.746774
طب بيطري سوهاج,383.35
كلية تكنولوجيا الصناعة والطاقة 6 أكتوبر التكنولوجية علوم,380.506452
معهد عالي هندسة وتكنولوجيا المنيا الجديدة,380.48
التكنولوجيا والتعليم الصناعي حلوان,379.25
ألسن أسوان,379.25
معهد عالي هندسه مدينه الشروق بمصروفات,375.414516
كلية تكنولوجيا العلوم الصحية برج العرب التكنولوجية,374.89375
علوم العريش,372.416667
كلية تكنولوجيا الصناعة والطاقة سمنود التكنولوجية علوم,370.726316
تمريض المنصورة,369.859677
ألسن عين شمس,369
التكنولوجيا والتعليم الصناعي السويس,368.470968
تمريض المنوفية بشبين الكوم,368.18
علوم دمنهور,367.633333
معهد عالي كندي تكنولوجيا هندسة ت.خامس,367.280645
المعهد العالى للهندسة والتكنولوجيا بالمنزلة - الدقهلية,366.95
ألسن الفيوم,366.883871
مصر العالي بالمنصورة تجارة وحاسبات شعبة علوم الحاسب رياضة,365.651667
عالى هندسة وتكنولوجيا بسوهاج,364.9
كلية تكنولوجيا الصناعة و الطاقة بالقاهرة جامعة مصر الدولية التكنولوجية,364.9
معهد القناة العالى للهندسة بالسويس,364.9
كلية تكنولوجيا الصناعة والطاقة ج الدلتا التكنولوجية,364.172581
المعهد العالى للهندسة والتكنولوجيا بكنج مريوط,362.85
دار العلوم الفيوم,362.03
كلية تكنولوجيا الصناعة والطاقة برج العرب التكنولوجية علوم,361.527419
تمريض طنطا,360.403226
المعهد العالى للهندسة والتكنولوجيا ببرج العرب بالاسكندرية,359.775
معهد الجزيرة العالى للهندسة والتكنولوجيا بالمقطم,359.198438
علوم حلوان,357.625806
علوم عين شمس,356.7
أكاديمية أخبار اليوم شعبة هندسية 6 أكتوبر,356.7
القاهرة العالي ش هندسية بالتجمع الاول القاهرة الجديدة,356.016667
آثار القاهرة,352.6
ألسن بني سويف,352.258333
معهد عالي تكنولوجيا 10 رمضان فرع 6 اكتوبر هندسة بمصروفات,351.83125
تجارة القاهرة,350.55
الاعاقة والتأهيل بني سويف,349.935
معهد عالي حاسبات ومعلومات مدينه الشروق شعبة علوم الحاسب بمصروفات رياضة,348.896759
معهد عالي هندسة وتكنولوجيا كفر الشيخ,348.402381
تمريض دمياط,347.475
آثار عين شمس,343.341935
كلية تكنولوجيا العلوم الصحية ج أسيوط التكنولوجية,341.735
تمريض بنها,337.191935
حقوق كفرالشيخ,336.951667
علوم طنطا,336.332258
ألسن المنيا,336.2
التكنولوجيا والتعليم الصناعي بني سويف,335.106667
معهد المستقبل العالى للهندسة والتكنولوجيا بالفيوم,333.091935
تمريض الزقازيق,332.715
معهد الدلتا العالي للهندسة والتكنولوجيا بالمنصورة,332.305
المعهد العالى للهندسة الالكترونية بلبيس,331.416656
علوم بنها,330.118333
علوم الزقازيق,330.05
معهد طيبة العالي للهندسه بالمعادى بمصروفات,328
تمريض كفر الشيخ,328
كلية تكنولوجيا الخدمات الفندقية والسياحية شرق بورسعيد,327.867742
تمريض دمنهور,326.496667
علوم قناة السويس بالإسماعيلية,324.515015
معهد المدينة العالي للهندسة والتكنولوجيا طريق سقارة الهرم,323.285
معهد المستقبل العالى للهندسة والتكنولوجيا بالمنصورة,321.916129
آثار دمياط,319.866129
تمريض الإسكندرية,315.700012
تمريض أسوان,313.65
معهد الجيزة العالى للهندسة والتكنولوجيا بطموه,310.343548
تجارة عين شمس,309.618333
